task,wacc,uar,r_Present,r_Unknown,r_Absent,combinations
circor1,0.8533333333333334,0.8012546014574412,0.8888888888888888,0.6470588235294118,0.867816091954023,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219"
circor1,0.6177777777777778,0.634595447374352,0.8,0.7647058823529411,0.3390804597701149,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep48it69-0.69023_loss1.1263"
circor1,0.8244444444444444,0.7646608068514763,0.8666666666666667,0.5882352941176471,0.8390804597701149,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep43it554-0.83129_loss0.7270"
circor1,0.8444444444444444,0.7935917662083991,0.8888888888888888,0.6470588235294118,0.8448275862068966,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep43it554-0.83129_loss0.7270"
circor1,0.8622222222222222,0.7907144466982196,0.9333333333333332,0.5882352941176471,0.8505747126436781,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep10it277-0.65488_loss2.1677,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep43it554-0.83129_loss0.7270"
circor1,0.8555555555555555,0.7871384569153331,0.9111111111111112,0.5882352941176471,0.8620689655172413,"-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.6133333333333333,0.6685072496431523,0.5555555555555556,0.8235294117647058,0.6264367816091954,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep44it69-0.68043_loss1.0397"
circor1,0.62,0.6313349861017205,0.7111111111111111,0.7058823529411765,0.4770114942528735,"-lab-physionet2022_dl-evar-logs-circor1_ar_byola.AR_BYOLA_ca67c1d1-weights_ep17it69-0.68638_loss0.7562,-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810"
circor1,0.8466666666666667,0.7933363383667643,0.9111111111111112,0.6470588235294118,0.8218390804597702,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep46it277-0.69968_loss0.9690,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep35it554-0.82114_loss0.8219"
circor1,0.8488888888888889,0.7835624671324469,0.8888888888888888,0.5882352941176471,0.8735632183908046,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep38it69-0.61393_loss1.0983,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177"
circor1,0.6177777777777778,0.6913755540530389,0.6444444444444445,0.9411764705882352,0.4885057471264368,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep48it69-0.69023_loss1.1263,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep4it277-0.65278_loss0.8936"
circor1,0.6466666666666666,0.6755315152881076,0.7777777777777778,0.8235294117647058,0.425287356321839,"-lab-physionet2022_dl-evar-logs-circor1_ar_cnn14.AR_Cnn14_fbe800f3-weights_ep34it69-0.69233_loss1.3810,-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep14it277-0.68183_loss0.6690"
circor1,0.8466666666666667,0.7495830516114491,0.9333333333333332,0.4705882352941176,0.8448275862068966,"-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.83199_loss0.4177,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep43it554-0.83129_loss0.7270"
circor1,0.8466666666666667,0.7976786116745549,0.8666666666666667,0.6470588235294118,0.8793103448275862,"-lab-physionet2022_dl-evar-logs-circor1_ar_ast.AR_AST_63cb7c1c-weights_ep42it277-0.69338_loss0.6990,-lab-physionet2022_dl-evar-logs-circor1_ar_m2d.AR_M2D_8ff7abf7-weights_ep41it554-0.81834_loss0.7292"
